                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1667,                 1.0207,                 1.1539,                0.79794,                0.68286,                0.76701,                0.62985,                 1.1254,                0.99925,                 1.1182,               0.006634,               0.006634,               0.006634
                     36,                 1.1647,                 1.0144,                 1.1528,                0.75823,                0.71225,                0.75978,                0.62886,                  1.124,                0.99807,                 1.1199,               0.006535,               0.006535,               0.006535
                     37,                 1.1616,                 1.0103,                 1.1511,                 0.7405,                0.72886,                0.76419,                0.63348,                 1.1188,                0.99953,                 1.1169,               0.006436,               0.006436,               0.006436
                     38,                 1.1626,                 1.0094,                  1.149,                 0.7745,                0.71894,                0.77871,                0.64765,                 1.1236,                0.98645,                 1.1221,               0.006337,               0.006337,               0.006337
                     39,                 1.1471,                0.98861,                 1.1403,                0.77659,                0.69562,                0.77069,                0.63583,                 1.1192,                 1.0037,                 1.1184,               0.006238,               0.006238,               0.006238
                     40,                 1.1445,                0.98229,                 1.1398,                0.76763,                0.72762,                0.77555,                 0.6384,                 1.1253,                0.99092,                 1.1214,               0.006139,               0.006139,               0.006139
                     41,                 1.1418,                0.98572,                 1.1387,                 0.7563,                0.74572,                0.78502,                0.65055,                 1.1213,                0.98346,                  1.121,                0.00604,                0.00604,                0.00604
                     42,                 1.1389,                0.97753,                  1.138,                0.77752,                0.73951,                0.78156,                0.64667,                 1.1165,                0.99593,                 1.1155,               0.005941,               0.005941,               0.005941
                     43,                 1.1386,                0.97422,                 1.1371,                0.80155,                0.72564,                0.78397,                0.64384,                 1.1153,                0.98989,                 1.1166,               0.005842,               0.005842,               0.005842
                     44,                  1.143,                0.97328,                 1.1402,                0.82809,                0.71082,                0.78811,                0.64747,                 1.1099,                0.98544,                 1.1137,               0.005743,               0.005743,               0.005743
                     45,                 1.1249,                0.95581,                 1.1312,                0.80798,                0.70988,                0.78043,                0.64689,                 1.1094,                0.98841,                 1.1148,               0.005644,               0.005644,               0.005644
                     46,                 1.1254,                0.95226,                 1.1274,                0.80412,                0.72988,                0.78711,                0.64927,                 1.1057,                0.97018,                  1.112,               0.005545,               0.005545,               0.005545
