epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1511.32,0.94757,0.75304,0.99366,0.74367,0.69209,0.75007,0.6149,0.9859,0.75396,1.00615,8.9996e-05,8.9996e-05,8.9996e-05
42,1547.97,0.94139,0.74905,0.99185,0.75514,0.67562,0.73955,0.60576,0.99952,0.76783,1.01111,8.85209e-05,8.85209e-05,8.85209e-05
43,1584,0.94256,0.74263,0.99353,0.76824,0.6557,0.73605,0.60101,0.99342,0.76243,1.01213,8.70458e-05,8.70458e-05,8.70458e-05
44,1620.99,0.95182,0.74025,0.9941,0.77445,0.68289,0.7647,0.6256,0.99055,0.76077,1.00507,8.55707e-05,8.55707e-05,8.55707e-05
45,1658.61,0.93805,0.73431,0.99076,0.79207,0.66897,0.76038,0.62284,1.01556,0.75623,1.01225,8.40956e-05,8.40956e-05,8.40956e-05
46,1694.36,0.93586,0.72905,0.98992,0.76221,0.69211,0.75575,0.62026,0.98642,0.76249,1.00512,8.26205e-05,8.26205e-05,8.26205e-05
47,1729.94,0.93646,0.72271,0.98757,0.76234,0.66776,0.75049,0.61985,0.98892,0.76219,1.01202,8.11454e-05,8.11454e-05,8.11454e-05
48,1766.21,0.92234,0.71511,0.98518,0.7759,0.65741,0.76297,0.62826,0.98601,0.77537,1.00849,7.96703e-05,7.96703e-05,7.96703e-05
49,1803.98,0.92902,0.7115,0.98534,0.76198,0.68818,0.75312,0.62089,0.98651,0.74911,1.0172,7.81952e-05,7.81952e-05,7.81952e-05
50,1839.95,0.91483,0.70662,0.98244,0.80161,0.67198,0.75993,0.62536,0.98382,0.74546,1.0095,7.67201e-05,7.67201e-05,7.67201e-05
51,1875.47,0.9169,0.70475,0.97921,0.77613,0.67548,0.75005,0.6173,0.99479,0.75261,1.01889,7.5245e-05,7.5245e-05,7.5245e-05
52,1911.99,0.91901,0.70232,0.98472,0.75389,0.70206,0.77242,0.63422,0.97738,0.74839,1.00744,7.37699e-05,7.37699e-05,7.37699e-05
53,1949.5,0.91357,0.70188,0.97893,0.83566,0.6626,0.77472,0.62609,1.00037,0.74357,1.01364,7.22948e-05,7.22948e-05,7.22948e-05
54,1985.52,0.92322,0.69656,0.98157,0.77958,0.70734,0.78024,0.64763,0.98133,0.74429,1.01263,7.08197e-05,7.08197e-05,7.08197e-05
55,2022.39,0.9066,0.6865,0.97643,0.79132,0.68193,0.7585,0.62983,0.98336,0.73783,1.01363,6.93446e-05,6.93446e-05,6.93446e-05
56,2058.33,0.90518,0.68812,0.97891,0.78999,0.6846,0.77011,0.63513,0.9867,0.73089,1.00746,6.78695e-05,6.78695e-05,6.78695e-05
57,2095.9,0.91161,0.69383,0.97619,0.82639,0.66412,0.75767,0.62284,0.98516,0.73977,1.01077,6.63944e-05,6.63944e-05,6.63944e-05
58,2132.89,0.90418,0.67463,0.9744,0.79064,0.68807,0.76359,0.62926,0.98743,0.73401,1.01548,6.49193e-05,6.49193e-05,6.49193e-05
