                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1134,                0.92103,                 1.1202,                0.72521,                0.73985,                 0.7723,                0.63788,                 1.1339,                 1.0282,                 1.1254,               0.008317,               0.008317,               0.008317
                     36,                 1.1149,                 0.9152,                 1.1196,                0.80881,                0.69633,                0.77711,                0.64061,                 1.1389,                 1.0054,                 1.1304,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1096,                0.91122,                 1.1159,                0.80269,                0.73282,                  0.789,                0.64955,                 1.1212,                0.99688,                 1.1205,               0.008218,               0.008218,               0.008218
                     38,                 1.1113,                0.91565,                   1.12,                0.80716,                0.70079,                0.76832,                0.63704,                 1.1275,                  1.003,                 1.1307,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1037,                0.90353,                 1.1144,                0.76855,                0.74318,                0.77657,                0.63996,                 1.1284,                 1.0077,                 1.1313,               0.008119,               0.008119,               0.008119
                     40,                 1.1021,                0.90041,                 1.1152,                0.79024,                0.73844,                0.77831,                  0.645,                 1.1328,                 1.0072,                 1.1316,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1018,                0.90742,                 1.1148,                 0.7948,                 0.7457,                0.78353,                 0.6478,                 1.1255,                 1.0196,                 1.1284,                0.00802,                0.00802,                0.00802
                     42,                 1.0941,                0.89754,                 1.1105,                 0.7705,                0.76044,                0.78238,                0.64995,                 1.1212,                  1.001,                 1.1225,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1013,                0.90071,                  1.114,                0.77669,                0.74205,                0.78661,                0.65358,                 1.1249,                  1.005,                 1.1258,               0.007921,               0.007921,               0.007921
                     44,                 1.1031,                0.90502,                 1.1139,                 0.8218,                 0.7149,                0.78807,                0.65169,                 1.1255,                0.99571,                 1.1271,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0888,                 0.8895,                 1.1088,                0.78371,                0.73841,                0.79225,                0.65973,                 1.1217,                0.98761,                 1.1267,               0.007822,               0.007822,               0.007822
                     46,                 1.0929,                 0.8934,                  1.106,                0.80951,                0.72993,                0.78692,                0.65559,                 1.1302,                0.99618,                 1.1355,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.1001,                0.89155,                 1.1097,                0.80743,                0.71876,                0.79341,                0.65433,                 1.1289,                0.99097,                 1.1291,               0.007723,               0.007723,               0.007723
                     48,                  1.089,                0.88268,                 1.1057,                0.79594,                0.73541,                0.80292,                0.65595,                  1.129,                0.99132,                 1.1287,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0921,                0.88189,                 1.1064,                 0.8068,                0.72845,                0.81006,                0.65888,                 1.1257,                0.99229,                 1.1249,               0.007624,               0.007624,               0.007624
                     50,                 1.0856,                0.87665,                 1.1041,                0.76974,                0.74752,                 0.8119,                 0.6634,                 1.1183,                0.98353,                 1.1225,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.086,                 0.8773,                 1.1029,                0.79614,                0.73773,                0.80341,                0.66303,                 1.1188,                0.98653,                 1.1207,               0.007525,               0.007525,               0.007525
                     52,                 1.0851,                0.87085,                 1.1019,                0.77737,                0.74755,                0.79947,                0.66056,                 1.1142,                 0.9774,                 1.1199,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0868,                0.88063,                 1.1038,                0.78757,                0.73966,                0.79724,                0.66037,                 1.1149,                0.97698,                 1.1207,               0.007426,               0.007426,               0.007426
                     54,                  1.086,                0.87426,                 1.1014,                0.79979,                0.72597,                0.79022,                0.65755,                 1.1167,                0.98362,                 1.1218,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0851,                0.87467,                 1.1024,                0.79359,                0.75293,                0.79822,                0.65892,                 1.1195,                0.97417,                 1.1243,               0.007327,               0.007327,               0.007327
                     56,                 1.0866,                0.87791,                 1.1009,                0.76562,                 0.7404,                0.80614,                0.65334,                 1.1138,                 0.9694,                 1.1181,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0773,                0.86664,                 1.0975,                0.78204,                0.73186,                0.80915,                0.66198,                 1.1108,                0.96175,                 1.1151,               0.007228,               0.007228,               0.007228
                     58,                 1.0791,                0.86424,                 1.1003,                0.78003,                0.74513,                0.82535,                0.67572,                  1.115,                0.96701,                 1.1197,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0755,                 0.8675,                 1.0992,                0.80474,                0.72654,                0.81619,                0.67194,                 1.1127,                0.96408,                 1.1189,               0.007129,               0.007129,               0.007129
                     60,                 1.0768,                0.86421,                 1.0988,                0.78437,                0.74615,                0.81799,                0.67398,                 1.1141,                0.96457,                 1.1201,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.0698,                0.85673,                 1.0962,                0.79972,                0.72315,                0.81336,                0.67051,                 1.1113,                0.96312,                 1.1187,                0.00703,                0.00703,                0.00703
                     62,                  1.072,                0.85545,                 1.0972,                 0.8086,                0.71899,                 0.8183,                 0.6725,                 1.1112,                 0.9614,                  1.118,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0694,                0.85193,                 1.0924,                0.80481,                0.73029,                0.82022,                 0.6785,                 1.1114,                0.96122,                  1.119,               0.006931,               0.006931,               0.006931
