                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96468,                0.72754,                 1.0443,                0.80254,                0.75189,                0.79692,                 0.6537,                 1.1349,                 1.0056,                 1.1324,              0.0033287,              0.0033287,              0.0033287
                      2,                  1.005,                0.77416,                 1.0642,                0.80363,                0.72217,                0.78537,                0.63845,                 1.1547,                 1.0509,                 1.1386,               0.006596,               0.006596,               0.006596
                      3,                  1.073,                0.87377,                  1.095,                 0.7766,                0.67917,                0.76952,                0.61717,                 1.1976,                 1.1421,                 1.1562,              0.0097974,              0.0097974,              0.0097974
                      4,                 1.1463,                0.98281,                 1.1355,                0.69358,                0.69275,                0.73762,                 0.5929,                 1.2148,                 1.1528,                  1.165,               0.009703,               0.009703,               0.009703
                      5,                 1.1678,                 1.0056,                  1.143,                0.72504,                0.69325,                0.75167,                0.60791,                 1.1925,                 1.1276,                 1.1546,               0.009604,               0.009604,               0.009604
                      6,                 1.1721,                   1.01,                 1.1489,                0.80777,                 0.6131,                0.74121,                0.60129,                 1.2058,                 1.0984,                 1.1669,               0.009505,               0.009505,               0.009505
                      7,                  1.163,                 1.0103,                 1.1492,                0.78688,                0.63899,                0.73514,                0.58475,                 1.2091,                 1.1104,                 1.1643,               0.009406,               0.009406,               0.009406
                      8,                 1.1613,                 1.0071,                 1.1456,                0.69308,                0.68258,                 0.7333,                0.59263,                 1.2043,                 1.1115,                 1.1631,               0.009307,               0.009307,               0.009307
                      9,                 1.1616,                0.99805,                 1.1452,                0.72378,                0.71224,                 0.7517,                0.60654,                 1.2007,                 1.0995,                 1.1621,               0.009208,               0.009208,               0.009208
                     10,                 1.1574,                0.99698,                  1.141,                0.75847,                0.68189,                0.75251,                0.61006,                 1.2002,                 1.1096,                 1.1568,               0.009109,               0.009109,               0.009109
                     11,                 1.1508,                0.97931,                 1.1395,                0.76384,                0.70277,                0.76016,                0.62108,                 1.1935,                 1.0955,                 1.1518,                0.00901,                0.00901,                0.00901
                     12,                 1.1515,                0.98639,                 1.1383,                0.82108,                 0.6735,                0.75236,                0.60445,                 1.1887,                 1.0898,                 1.1561,               0.008911,               0.008911,               0.008911
                     13,                 1.1502,                0.98416,                 1.1418,                0.68086,                0.70545,                0.75125,                0.61685,                 1.1841,                 1.1192,                 1.1642,               0.008812,               0.008812,               0.008812
                     14,                 1.1482,                0.98094,                 1.1413,                0.77153,                 0.6751,                0.74829,                0.60853,                 1.1806,                 1.0894,                 1.1552,               0.008713,               0.008713,               0.008713
                     15,                   1.14,                0.97244,                 1.1358,                0.78341,                0.66392,                 0.7478,                0.60651,                 1.1807,                 1.0648,                 1.1465,               0.008614,               0.008614,               0.008614
                     16,                 1.1423,                0.96646,                 1.1348,                0.80632,                 0.6714,                0.75569,                0.61101,                 1.1861,                 1.0311,                 1.1481,               0.008515,               0.008515,               0.008515
                     17,                 1.1369,                0.95793,                 1.1319,                0.74914,                0.73974,                0.78695,                0.62894,                 1.1752,                  1.082,                 1.1442,               0.008416,               0.008416,               0.008416
                     18,                 1.1333,                 0.9625,                   1.13,                0.79616,                0.67459,                0.75107,                 0.6081,                 1.1729,                 1.0716,                 1.1521,               0.008317,               0.008317,               0.008317
